 Asbbchbfcxsvx vxhvzh nxv vendor,productName,EOL Date,resource,Recommended replacement
Palo Alto,"PA-7000 Series
(PAN-PA-7000-100G-NPC-A,
PAN-PA-7000-LFC-A,
PAN-PA-7000-DPC-A,
PAN-PA-7080-AC-SYS,
PAN-PA-7080-DC-SYS,
PAN-PA-7050-AC-SYS,
PAN-PA-7050-DC-SYS,
PAN-PA-7050-SMC-B,
PAN-PA-7080-SMC-B,
PAN-PA-7050-SMC-B-SYS-UPG,
PAN-PA-7080-SMC-B-SYS-UPG,
PAN-PA-7000-LFC-A-SYS-UPG)","Dec 31, 2025","Dec 31, 2030",PA-7000 Series Datasheet
Palo Alto,PA-220R,"Jan 31, 2025","Jan 31, 2030",PA-220R Hardware Reference Guide
Palo Alto,PAN-2.5IN-HDD-2TB-PAIR,"Aug 1, 2024","Aug 31, 2028",PA-5200 Datasheet
Palo Alto,PAN-QSFP-40GBASE-LM4,"May 16, 2024","May 16, 2029",Key Specifications for Palo Alto Networks Interfaces and Transceivers
Palo Alto,"PA-800 Series
(PA-820, PA-850)
(PA-820-ZTP, PA-850-ZTP)","August 31, 2024","August 31, 2029",PA-800 Series Hardware Reference
Palo Alto,ION 9000,"June 15th, 2024","August 1st, 2029",ION 9000 Hardware Reference
Palo Alto,ION 3000,"March 15th, 2024","August 1st, 2029",ION 3000 Hardware Reference
Palo Alto,M-200 and M-600,"Feb 15, 2024","Feb 15, 2029","M-200 and M-600 Appliance Overview
Panorama Datasheet"
Palo Alto,ION 1000,"February 1st, 2024","February 1st, 2029",ION 1000 Hardware Reference
Palo Alto,ION 2000,"February 1st, 2024","February 1st, 2029",ION 2000 Hardware Reference
Palo Alto,WF-500,"December 31, 2023","December 31, 2028",WildFire Private Cloud Appliance
Palo Alto,"PA-3200 Series
(PA-3220, PA-3250, PA-3260)
(PA-3220-ZTP, PA-3250-ZTP, PA-3260-ZTP)","August 31, 2023","August 31, 2028",PA-3200 Series Datasheet
Palo Alto,"PA-5200 Series
(PA-5220, PA-5250, PA-5260, PA-5280)","August 31, 2023","August 31, 2028",PA-5200 Series Datasheet
Palo Alto,PA-220,"January 31, 2023","January 31, 2028",PA-220 Datasheet
Palo Alto,ION 7000,"February 1, 2022","February 1, 2027",ION 7000 Hardware Reference Manual
Palo Alto,"PA-7000-20GXM-NPC
PA-7000-20GQXM-NPC","May 8, 2021","May 8, 2026","PA-7000 Series
PA-7000 Series Datasheet"
Palo Alto,"PA-7050-SMC
PA-7080-SMC
PA-7000-LPC","February 28, 2021","February 28, 2026","PA-7000 Series
PA-7000 Series Datasheet"
Palo Alto,"K2-Series
(PA-5280-K2, PA-7050-K2, PA-7080-K2)","February 28, 2021","February 28, 2026",K2-Series Datasheet
Palo Alto,,,,
Palo Alto,,,,
Palo Alto,,,,
Palo Alto,,,,
Palo Alto,,,,
Palo Alto,,,,
Palo Alto,,,,
Palo Alto,"PA-2000 Series
(PA-2020, PA-2050)","April 30, 2015","April 30, 2020","PA-2000 Series Overview
PA-2000 Series Specsheet"
Palo Alto,"PA-4000 Series
(PA-4020, PA-4050, PA-4060)","April 30, 2014","April 30, 2019","PA-4000 Series Overview
PA-4000 Series Specsheet"
Palo Alto,GP-100,"April 30, 2016","April 30, 2021","GP-100 Overview
GP-100 Specsheet"
Palo Alto,"LightCyber Magna Detector
(D-300, D-500, D-1000)","December 31, 2017","December 31, 2020",LightCyber Behavioral Analytics Datasheet
Palo Alto,"LightCyber Magna Probe
(P-50T)","December 31, 2017","December 31, 2020",LightCyber Behavioral Analytics Datasheet
Palo Alto,LightCyber Magna Master (M-100),"December 31, 2017","December 31, 2020",LightCyber Behavioral Analytics Datasheet

